,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
4504,GoldenEye,28,1995,130.0,Action,7.2,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,242845,1990-2000,6.0
4505,Bad Boys,23,1995,119.0,Action,6.9,Michael Bay,Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro,246573,1990-2000,6.0
4506,Before Sunrise,15,1995,101.0,Drama,8.1,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,281678,1990-2000,6.0
4507,Jumanji,7,1995,104.0,Adventure,7.0,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,317659,1990-2000,6.0
4508,Die Hard: With a Vengeance,13,1995,128.0,Action,7.6,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,369729,1990-2000,6.0
4509,Casino,9,1995,178.0,Crime,8.2,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,479981,1990-2000,6.0
4510,Twelve Monkeys,14,1995,129.0,Mystery,8.0,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,589221,1990-2000,6.0
4511,Heat,3,1995,170.0,Crime,8.2,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,595155,1990-2000,6.0
4512,Toy Story,8,1995,81.0,Animation,8.3,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,912008,1990-2000,6.0
4513,Braveheart,4,1995,178.0,Biography,8.3,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,978089,1990-2000,6.0
4514,The Usual Suspects,5,1995,106.0,Crime,8.5,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,1013962,1990-2000,6.0
4515,Se7en,2,1995,127.0,Crime,8.6,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1490093,1990-2000,6.0
4516,Day of the Warrior,99,1996,96.0,Action,3.6,Andy Sidaris,Kevin Light,Cristian Letelier,Julie Strain,Julie K. Smith,1075,1990-2000,6.0
4517,Gray's Anatomy,89,1996,80.0,Comedy,6.8,Steven Soderbergh,Spalding Gray,Mike McLaughlin,Melissa Robertson,Alvin Henry,2171,1990-2000,6.0
4518,Irma Vep,63,1996,99.0,Comedy,7.1,Olivier Assayas,Maggie Cheung,Jean-Pierre Léaud,Nathalie Richard,Antoine Basler,5931,1990-2000,6.0
4519,Space Truckers,58,1996,95.0,Adventure,5.3,Stuart Gordon,Tim Loane,Ian Beattie,Olwen Fouéré,Shane Rimmer,6991,1990-2000,6.0
4520,The Pallbearer,91,1996,98.0,Comedy,5.0,Matt Reeves,David Schwimmer,Gwyneth Paltrow,Michael Rapaport,Toni Collette,7675,1990-2000,6.0
4521,Kama Sutra: A Tale of Love,82,1996,117.0,Crime,6.0,Mira Nair,Naveen Andrews,Sarita Choudhury,Indira Varma,Ramon Tikaram,10114,1990-2000,6.0
4522,Diabolique,94,1996,107.0,Drama,5.4,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates,13676,1990-2000,6.0
4523,Eye for an Eye,57,1996,101.0,Crime,6.2,John Schlesinger,Sally Field,Kiefer Sutherland,Ed Harris,Olivia Burnette,14031,1990-2000,6.0
4524,Set It Off,83,1996,123.0,Action,6.9,F. Gary Gray,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise,14876,1990-2000,6.0
4525,Mulholland Falls,92,1996,107.0,Crime,6.3,Lee Tamahori,Nick Nolte,Melanie Griffith,Jennifer Connelly,Chazz Palminteri,16344,1990-2000,6.0
4526,She's the One,77,1996,96.0,Comedy,6.0,Edward Burns,Edward Burns,Jennifer Aniston,John Mahoney,Michael McGlone,16745,1990-2000,6.0
4527,The Mirror Has Two Faces,23,1996,126.0,Comedy,6.6,Barbra Streisand,Barbra Streisand,Jeff Bridges,Lauren Bacall,George Segal,17514,1990-2000,6.0
4528,Big Night,48,1996,109.0,Drama,7.3,Campbell Scott,Stanley Tucci,Tony Shalhoub,Stanley Tucci,Marc Anthony,18483,1990-2000,6.0
4529,2 Days in the Valley,93,1996,104.0,Comedy,6.5,John Herzfeld,Teri Hatcher,Jeff Daniels,Danny Aiello,Charlize Theron,18736,1990-2000,6.0
4530,Brassed Off,88,1996,108.0,Comedy,7.2,Mark Herman,Pete Postlethwaite,Tara Fitzgerald,Ewan McGregor,Stephen Tompkinson,19035,1990-2000,6.0
4531,White Squall,55,1996,129.0,Adventure,6.6,Ridley Scott,Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,21505,1990-2000,6.0
4532,Down Periscope,81,1996,92.0,Comedy,6.2,David S. Ward,Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton,21742,1990-2000,6.0
4533,Beautiful Thing,98,1996,90.0,Comedy,7.6,Hettie Macdonald,Glen Berry,Linda Henry,Scott Neal,Tameka Empson,23107,1990-2000,6.0
4534,Fly Away Home,78,1996,107.0,Adventure,6.8,Carroll Ballard,Jeff Daniels,Anna Paquin,Dana Delany,Terry Kinney,24071,1990-2000,6.0
4535,Barb Wire,67,1996,98.0,Action,3.4,David Hogan,Pamela Anderson,Amir AboulEla,Adriana Alexander,David Andriole,25586,1990-2000,6.0
4536,D3: The Mighty Ducks,44,1996,104.0,Action,5.5,Robert Lieberman,Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling,25792,1990-2000,6.0
4537,Bio-Dome,59,1996,88.0,Comedy,4.4,Jason Bloom,Pauly Shore,Stephen Baldwin,William Atherton,Denise Dowse,26371,1990-2000,6.0
4538,Stealing Beauty,27,1996,118.0,Drama,6.6,Bernardo Bertolucci,Jeremy Irons,Liv Tyler,Carlo Cecchi,Sinéad Cusack,26710,1990-2000,6.0
4539,Freeway,84,1996,102.0,Comedy,6.8,Matthew Bright,Reese Witherspoon,Kiefer Sutherland,Bokeem Woodbine,Paul Perri,26995,1990-2000,6.0
4540,Waiting for Guffman,73,1996,84.0,Comedy,7.5,Christopher Guest,Christopher Guest,Fred Willard,Catherine O'Hara,Parker Posey,27625,1990-2000,6.0
4541,Thinner,51,1996,93.0,Fantasy,5.8,Tom Holland,Robert John Burke,Joe Mantegna,Lucinda Jenney,Bethany Joy Lenz,28917,1990-2000,6.0
4542,Michael Collins,80,1996,133.0,Biography,7.2,Neil Jordan,Liam Neeson,Aidan Quinn,Julia Roberts,Ian Hart,30157,1990-2000,6.0
4543,Multiplicity,95,1996,117.0,Comedy,6.1,Harold Ramis,Michael Keaton,Andie MacDowell,Zack Duhame,Katie Schlossberg,30570,1990-2000,6.0
4544,The Island of Dr. Moreau,25,1996,96.0,Horror,4.5,John Frankenheimer,Richard Stanley,David Thewlis,Marlon Brando,Val Kilmer,31593,1990-2000,6.0
4545,Beautiful Girls,65,1996,112.0,Comedy,7.1,Ted Demme,Matt Dillon,Timothy Hutton,Noah Emmerich,Annabeth Gish,31777,1990-2000,6.0
4546,The Phantom,64,1996,100.0,Action,5.0,Simon Wincer,Billy Zane,Kristy Swanson,Treat Williams,Catherine Zeta-Jones,32790,1990-2000,6.0
4547,The Arrival,61,1996,115.0,Mystery,6.2,David Twohy,Charlie Sheen,Lindsay Crouse,Richard Schiff,Shane,33648,1990-2000,6.0
4548,The Crucible,72,1996,124.0,Drama,6.8,Nicholas Hytner,Daniel Day-Lewis,Winona Ryder,Paul Scofield,Joan Allen,35988,1990-2000,6.0
4549,Hamlet,62,1996,242.0,Drama,7.7,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet,36513,1990-2000,6.0
4550,Pusher,53,1996,110.0,Crime,7.4,Nicolas Winding Refn,Kim Bodnia,Zlatko Buric,Laura Drasbæk,Slavko Labovic,36567,1990-2000,6.0
4551,Emma,60,1996,120.0,Comedy,6.7,Douglas McGrath,Gwyneth Paltrow,James Cosmo,Greta Scacchi,Alan Cumming,36886,1990-2000,6.0
4552,Black Sheep,90,1996,87.0,Comedy,6.3,Penelope Spheeris,Chris Farley,David Spade,Tim Matheson,Christine Ebersole,37760,1990-2000,6.0
4553,Secrets & Lies,70,1996,136.0,Comedy,8.0,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,39073,1990-2000,6.0
4554,Michael,79,1996,105.0,Comedy,5.7,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,Bob Hoskins,41604,1990-2000,6.0
4555,Striptease,34,1996,115.0,Comedy,4.5,Andrew Bergman,Demi Moore,Burt Reynolds,Armand Assante,Ving Rhames,43882,1990-2000,6.0
4556,Fear,26,1996,97.0,Drama,6.2,James Foley,Mark Wahlberg,Reese Witherspoon,William Petersen,Amy Brenneman,44075,1990-2000,6.0
4557,One Fine Day,100,1996,108.0,Comedy,6.5,Michael Hoffman,Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz,44114,1990-2000,6.0
4558,Sydney,47,1996,102.0,Crime,7.2,Paul Thomas Anderson,Philip Baker Hall,John C. Reilly,Gwyneth Paltrow,Samuel L. Jackson,44536,1990-2000,6.0
4559,The First Wives Club,52,1996,103.0,Comedy,6.4,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,Maggie Smith,45019,1990-2000,6.0
4560,The Fan,85,1996,116.0,Action,5.9,Tony Scott,Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo,46776,1990-2000,6.0
4561,Tin Cup,71,1996,135.0,Comedy,6.4,Ron Shelton,Kevin Costner,Rene Russo,Don Johnson,Cheech Marin,47225,1990-2000,6.0
4562,Chain Reaction,87,1996,107.0,Action,5.7,Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward,48947,1990-2000,6.0
4563,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,45,1996,89.0,Comedy,6.6,Paris Barclay,Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,Tracey Cherelle Jones,49910,1990-2000,6.0
4564,Courage Under Fire,46,1996,116.0,Action,6.6,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty,51508,1990-2000,6.0
4565,Bound,33,1996,109.0,Crime,7.3,Lana Wachowski,Lilly Wachowski,Jennifer Tilly,Gina Gershon,Joe Pantoliano,51914,1990-2000,6.0
4566,Shine,86,1996,105.0,Biography,7.7,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd,52201,1990-2000,6.0
4567,Executive Decision,49,1996,133.0,Action,6.4,Stuart Baird,Kurt Russell,Halle Berry,Steven Seagal,John Leguizamo,52253,1990-2000,6.0
4568,Beavis and Butt-Head Do America,76,1996,81.0,Animation,6.8,Mike Judge,Mike de Seve,Brian Mulroney,Yvette Kaplan,Mike Judge,52653,1990-2000,6.0
4569,Crash,16,1996,100.0,Drama,6.4,David Cronenberg,James Spader,Holly Hunter,Elias Koteas,Deborah Kara Unger,53798,1990-2000,6.0
4570,Last Man Standing,68,1996,101.0,Action,6.4,Walter Hill,Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken,54337,1990-2000,6.0
4571,Jack,54,1996,113.0,Comedy,5.8,Francis Ford Coppola,Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez,56998,1990-2000,6.0
4572,The Ghost and the Darkness,41,1996,110.0,Adventure,6.8,Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani,57959,1990-2000,6.0
4573,James and the Giant Peach,56,1996,79.0,Animation,6.7,Henry Selick,Paul Terry,Joanna Lumley,Pete Postlethwaite,Simon Callow,61931,1990-2000,6.0
4574,Breaking the Waves,69,1996,159.0,Drama,7.8,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,63760,1990-2000,6.0
4575,That Thing You Do!,37,1996,108.0,Comedy,6.9,Tom Hanks,Tom Hanks,Liv Tyler,Charlize Theron,Tom Everett Scott,64068,1990-2000,6.0
4576,Daylight,66,1996,114.0,Action,5.9,Rob Cohen,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Dan Hedaya,68410,1990-2000,6.0
4577,Escape from L.A.,43,1996,101.0,Action,5.7,John Carpenter,Kurt Russell,Steve Buscemi,Stacy Keach,A.J. Langer,71191,1990-2000,6.0
4578,Bottle Rocket,35,1996,91.0,Comedy,7.0,Wes Anderson,Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler,72054,1990-2000,6.0
4579,The Long Kiss Goodnight,36,1996,121.0,Action,6.8,Renny Harlin,Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko,75490,1990-2000,6.0
4580,Phenomenon,97,1996,123.0,Drama,6.4,Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall,75735,1990-2000,6.0
4581,Swingers,38,1996,96.0,Comedy,7.2,Doug Liman,Vince Vaughn,Heather Graham,Jon Favreau,Ron Livingston,76931,1990-2000,6.0
4582,Kingpin,29,1996,114.0,Comedy,6.9,Bobby Farrelly,Peter Farrelly,Woody Harrelson,Randy Quaid,Bill Murray,79138,1990-2000,6.0
4583,The Craft,18,1996,101.0,Drama,6.4,Andrew Fleming,Robin Tunney,Fairuza Balk,Neve Campbell,Rachel True,82289,1990-2000,6.0
4584,The Birdcage,28,1996,117.0,Comedy,7.1,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest,82735,1990-2000,6.0
4585,The Frighteners,22,1996,110.0,Comedy,7.1,Peter Jackson,Michael J. Fox,Trini Alvarado,Peter Dobson,John Astin,83797,1990-2000,6.0
4586,Sling Blade,30,1996,135.0,Drama,8.0,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,88754,1990-2000,6.0
4587,The People vs. Larry Flynt,74,1996,130.0,Biography,7.3,Milos Forman,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson,89850,1990-2000,6.0
4588,DragonHeart,50,1996,103.0,Action,6.5,Rob Cohen,Dennis Quaid,Sean Connery,Dina Meyer,Pete Postlethwaite,92613,1990-2000,6.0
4589,Broken Arrow,40,1996,108.0,Action,6.0,John Woo,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,92879,1990-2000,6.0
4590,Jingle All the Way,96,1996,89.0,Adventure,5.6,Brian Levant,Arnold Schwarzenegger,Sinbad,Phil Hartman,Rita Wilson,95157,1990-2000,6.0
4591,101 Dalmatians,12,1996,103.0,Adventure,5.7,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,104769,1990-2000,6.0
4592,Eraser,39,1996,115.0,Action,6.1,Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn,105603,1990-2000,6.0
4593,The Nutty Professor,31,1996,95.0,Comedy,5.6,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,112245,1990-2000,6.0
4594,Star Trek: First Contact,19,1996,111.0,Action,7.6,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,119925,1990-2000,6.0
4595,Ransom,75,1996,121.0,Action,6.7,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte,121173,1990-2000,6.0
4596,Matilda,14,1996,98.0,Comedy,6.9,Danny DeVito,Danny DeVito,Rhea Perlman,Mara Wilson,Embeth Davidtz,135098,1990-2000,6.0
4597,A Time to Kill,17,1996,149.0,Crime,7.5,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,138059,1990-2000,6.0
4598,The Hunchback of Notre Dame,32,1996,91.0,Animation,7.0,Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,Mary Kay Bergman,145976,1990-2000,6.0
4599,The Cable Guy,42,1996,96.0,Comedy,6.1,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black,156792,1990-2000,6.0
4600,Space Jam,2,1996,88.0,Animation,6.5,Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington,171418,1990-2000,6.0
4601,The English Patient,24,1996,162.0,Drama,7.4,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,182201,1990-2000,6.0
4602,Primal Fear,21,1996,129.0,Crime,7.7,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,195531,1990-2000,6.0
4603,Sleepers,5,1996,147.0,Crime,7.6,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric,201903,1990-2000,6.0
